slice_file_name,class,fold,,,,,,,,
Australasianbittern.01.wav,Australasianbittern,1,,,Australasianbittern.01,.wav,,Australasianbittern.01.wav,,
Australasianbittern.02.wav,Australasianbittern,1,,,Australasianbittern.02,.wav,,Australasianbittern.02.wav,,
Australasianbittern.03.wav,Australasianbittern,1,,,Australasianbittern.03,.wav,,Australasianbittern.03.wav,,
Australasianbittern.04.wav,Australasianbittern,1,,,Australasianbittern.04,.wav,,Australasianbittern.04.wav,,
Australasianbittern.05.wav,Australasianbittern,1,,,Australasianbittern.05,.wav,,Australasianbittern.05.wav,,
Australasianbittern.06.wav,Australasianbittern,1,,,Australasianbittern.06,.wav,,Australasianbittern.06.wav,,
Australasianbittern.07.wav,Australasianbittern,1,,,Australasianbittern.07,.wav,,Australasianbittern.07.wav,,
Australasianbittern.08.wav,Australasianbittern,1,,,Australasianbittern.08,.wav,,Australasianbittern.08.wav,,Australasianbittern.08.wav
Australasianbittern.09.wav,Australasianbittern,1,,,Australasianbittern.09,.wav,,Australasianbittern.09.wav,,Australasianbittern.09.wav
Australasianbittern.10.wav,Australasianbittern,1,,,Australasianbittern.10,.wav,,Australasianbittern.10.wav,,Australasianbittern.10.wav
Australasianbittern.11.wav,Australasianbittern,1,,,Australasianbittern.11,.wav,,Australasianbittern.11.wav,,Australasianbittern.11.wav
Australasianbittern.12.wav,Australasianbittern,1,,,Australasianbittern.12,.wav,,Australasianbittern.12.wav,,Australasianbittern.12.wav
Australasianbittern.13.wav,Australasianbittern,1,,,Australasianbittern.13,.wav,,Australasianbittern.13.wav,,Australasianbittern.13.wav
Australasianbittern.14.wav,Australasianbittern,1,,,Australasianbittern.14,.wav,,Australasianbittern.14.wav,,Australasianbittern.14.wav
Australasianbittern.15.wav,Australasianbittern,1,,,Australasianbittern.15,.wav,,Australasianbittern.15.wav,,Australasianbittern.15.wav
Australasianbittern.16.wav,Australasianbittern,1,,,Australasianbittern.16,.wav,,Australasianbittern.16.wav,,Australasianbittern.16.wav
Australasianbittern.17.wav,Australasianbittern,1,,,Australasianbittern.17,.wav,,Australasianbittern.17.wav,,Australasianbittern.17.wav
Australasianbittern.18.wav,Australasianbittern,1,,,Australasianbittern.18,.wav,,Australasianbittern.18.wav,,Australasianbittern.18.wav
Australasianbittern.19.wav,Australasianbittern,1,,,Australasianbittern.19,.wav,,Australasianbittern.19.wav,,Australasianbittern.19.wav
Australasianbittern.20.wav,Australasianbittern,1,,,Australasianbittern.20,.wav,,Australasianbittern.20.wav,,Australasianbittern.20.wav
Australasianbittern.21.wav,Australasianbittern,1,,,Australasianbittern.21,.wav,,Australasianbittern.21.wav,,Australasianbittern.21.wav
Australasianbittern.22.wav,Australasianbittern,1,,,Australasianbittern.22,.wav,,Australasianbittern.22.wav,,Australasianbittern.22.wav
Australasianbittern.23.wav,Australasianbittern,1,,,Australasianbittern.23,.wav,,Australasianbittern.23.wav,,Australasianbittern.23.wav
Australasianbittern.24.wav,Australasianbittern,1,,,Australasianbittern.24,.wav,,Australasianbittern.24.wav,,Australasianbittern.24.wav
Australasianbittern.25.wav,Australasianbittern,1,,,Australasianbittern.25,.wav,,Australasianbittern.25.wav,,Australasianbittern.25.wav
